org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$null$1	()Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	GET_FIELD	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::collectionName|Ljava/lang/String;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$null$1	()Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_SPECIAL	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::lookupPersistentEntity(Ljava/lang/String;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;
org/springframework/data/mongodb/core/DefaultWriteConcernResolver	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/DefaultWriteConcernResolver::INSTANCE|Lorg/springframework/data/mongodb/core/DefaultWriteConcernResolver;
org/springframework/data/mongodb/core/EntityOperations	convertToCreateCollectionOptions	(Lorg/springframework/data/mongodb/core/CollectionOptions;Ljava/lang/Class;)Lcom/mongodb/client/model/CreateCollectionOptions;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/EntityOperations	lambda$convertToCreateCollectionOptions$7	(Ljava/lang/Class;Lcom/mongodb/client/model/CreateCollectionOptions;Lorg/springframework/data/mongodb/core/CollectionOptions$ValidationOptions;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/EntityOperations	lambda$null$6	(Lcom/mongodb/client/model/ValidationOptions;Ljava/lang/Class;Lorg/springframework/data/mongodb/core/validation/Validator;)V	INVOKE_SPECIAL	org/springframework/data/mongodb/core/EntityOperations::getMappedValidator(Lorg/springframework/data/mongodb/core/validation/Validator;Ljava/lang/Class;)Lorg/bson/Document;
org/springframework/data/mongodb/core/EntityOperations	lambda$null$6	(Lcom/mongodb/client/model/ValidationOptions;Ljava/lang/Class;Lorg/springframework/data/mongodb/core/validation/Validator;)V	INVOKE_VIRTUAL	com/mongodb/client/model/ValidationOptions::validator(Lorg/bson/conversions/Bson;)Lcom/mongodb/client/model/ValidationOptions;
org/springframework/data/mongodb/core/EntityOperations$UntypedOperations	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/EntityOperations$UntypedOperations::INSTANCE|Lorg/springframework/data/mongodb/core/EntityOperations$UntypedOperations;
org/springframework/data/mongodb/core/ExecutableFindOperationSupport$DelegatingQueryCursorPreparer	prepare	(Lcom/mongodb/client/FindIterable;)Lcom/mongodb/client/FindIterable;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/ExecutableFindOperationSupport$ExecutableFindSupport	getCursorPreparer	(Lorg/springframework/data/mongodb/core/query/Query;Lorg/springframework/data/mongodb/core/CursorPreparer;)Lorg/springframework/data/mongodb/core/CursorPreparer;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::BULK|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::INSERT_LIST|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::INSERT|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::REMOVE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::SAVE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoActionOperation	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/MongoActionOperation::UPDATE|Lorg/springframework/data/mongodb/core/MongoActionOperation;
org/springframework/data/mongodb/core/MongoClientFactoryBean	computeClientSetting	()Lcom/mongodb/MongoClientSettings;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$0	(Lcom/mongodb/MongoClientSettings;Lcom/mongodb/connection/SslSettings;Lcom/mongodb/ConnectionString;Lcom/mongodb/connection/SslSettings$Builder;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$16	(Lcom/mongodb/MongoClientSettings;Lcom/mongodb/connection/ConnectionPoolSettings;Lcom/mongodb/ConnectionString;Lcom/mongodb/connection/ConnectionPoolSettings$Builder;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$21	(Lcom/mongodb/MongoClientSettings;Lcom/mongodb/connection/SocketSettings;Lcom/mongodb/ConnectionString;Lcom/mongodb/connection/SocketSettings$Builder;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$computeClientSetting$5	(Lcom/mongodb/MongoClientSettings;Lcom/mongodb/connection/ClusterSettings;Lcom/mongodb/ConnectionString;Lcom/mongodb/connection/ClusterSettings$Builder;)V	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	GET_STATIC_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	INVOKE_VIRTUAL	com/mongodb/connection/ClusterSettings$Builder::localThreshold(JLjava/util/concurrent/TimeUnit;)Lcom/mongodb/connection/ClusterSettings$Builder;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$1	(Lcom/mongodb/connection/ClusterSettings$Builder;Ljava/lang/Number;)V	INVOKE_VIRTUAL	java/lang/Number::longValue()J
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	GET_STATIC_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	INVOKE_VIRTUAL	com/mongodb/connection/ConnectionPoolSettings$Builder::maxConnectionLifeTime(JLjava/util/concurrent/TimeUnit;)Lcom/mongodb/connection/ConnectionPoolSettings$Builder;
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$10	(Lcom/mongodb/connection/ConnectionPoolSettings$Builder;Ljava/lang/Number;)V	INVOKE_VIRTUAL	java/lang/Number::longValue()J
org/springframework/data/mongodb/core/MongoClientFactoryBean	lambda$null$11	(Lcom/mongodb/connection/ConnectionPoolSettings;)Ljava/lang/Number;	GET_STATIC_FIELD	java/util/concurrent/TimeUnit::MILLISECONDS|Ljava/util/concurrent/TimeUnit;
